idind;age;male;wage;public;internet;children;urban;educ
84;50;0;11500;1;1;2;1;1
88;53;1;50500;1;1;2;1;1
111;54;0;17500;1;0;1;1;2
128;23;1;20500;0;1;0;1;3
129;31;1;22500;1;1;2;1;1
231;31;1;16500;0;1;0;1;1
232;55;0;8500;0;1;2;1;3
233;60;1;20500;0;0;2;1;1
287;46;1;30500;0;1;1;1;2
362;59;1;20500;1;1;1;1;3
423;51;1;18500;0;0;0;0;1
425;23;0;12500;0;1;0;1;3
431;33;1;33500;0;1;1;1;3
439;39;1;40500;0;1;1;1;1
449;46;1;35500;0;1;1;1;1
468;39;1;26500;0;1;1;1;1
480;53;1;30500;0;0;1;1;1
482;48;0;12500;0;1;2;1;2
546;31;1;61500;0;1;2;1;3
547;58;1;18300;0;1;0;1;1
573;29;1;14500;0;1;0;0;2
585;40;0;18500;0;1;1;1;3
694;60;1;65500;0;1;2;1;3
701;31;1;55500;0;1;3;1;3
715;55;1;19400;1;1;3;1;3
716;28;1;30500;0;1;0;1;2
731;47;0;17500;0;1;1;1;2
795;51;0;30500;0;1;2;1;0
816;53;0;20500;0;1;1;1;1
849;25;1;25500;0;1;0;1;0
892;31;0;15500;1;1;2;1;2
1001;52;1;45500;0;1;1;1;3
1035;36;1;20500;0;1;0;1;0
1036;34;1;20500;0;1;0;1;0
1044;35;0;17700;0;1;2;0;1
1112;46;0;30500;0;1;1;1;3
1115;42;0;30500;0;1;1;1;0
1116;32;0;15500;0;1;2;1;1
1245;30;1;35500;0;1;2;1;3
1300;43;1;22500;1;1;1;1;3
1317;41;1;35500;1;0;2;1;1
1398;40;0;12500;0;1;0;1;1
1422;37;1;50500;0;1;2;1;3
1488;42;1;35500;1;1;1;1;3
1606;41;1;90500;0;1;2;1;1
1611;54;1;25500;0;0;2;1;0
1619;59;1;18500;0;0;1;1;3
1696;42;0;18500;0;1;1;0;2
1701;38;0;8500;0;1;2;0;3
1707;44;1;42500;0;1;1;1;3
1710;48;0;23500;1;1;1;1;2
1712;57;0;10500;0;1;2;1;2
1728;30;1;30500;1;1;0;1;3
1920;47;0;15500;0;0;1;1;0
1921;52;1;17500;0;0;1;1;0
1922;22;1;36500;0;1;0;1;0
1930;46;1;12500;0;1;2;1;1
1932;57;1;28500;0;0;1;1;2
1945;46;1;39500;1;1;1;1;1
1990;30;1;50500;1;1;1;0;3
2102;56;1;60500;0;0;1;1;1
2168;52;1;25500;0;1;1;1;2
2215;34;0;30500;0;1;1;1;1
2217;32;0;25500;1;1;2;1;3
2247;38;1;20500;0;1;2;0;3
2422;40;1;40500;0;1;3;1;2
2450;35;1;48500;0;1;1;1;2
2501;49;1;12500;0;1;0;1;1
2545;53;1;40500;1;0;2;1;0
2552;49;0;20500;1;1;0;1;1
2645;36;1;22500;0;1;1;0;1
2750;33;1;55500;0;1;1;1;3
2869;41;1;15000;0;0;2;1;1
2995;35;1;30500;0;1;2;0;3
3049;38;1;40500;1;0;2;1;1
3054;39;1;35500;0;1;0;1;3
3099;43;1;15500;0;1;0;1;1
3136;47;1;25500;0;1;1;1;2
3137;40;0;17000;0;1;0;1;2
3299;21;1;15500;0;1;0;1;3
3455;24;1;40500;1;1;0;0;2
3483;25;0;15500;1;1;0;1;3
3489;32;0;23500;0;1;1;1;3
3504;42;0;4000;1;1;2;1;2
3554;34;0;30500;1;1;1;1;3
3624;35;1;18500;0;1;2;1;3
3675;31;1;38500;0;1;1;1;1
3685;56;0;7500;0;0;1;1;1
3711;32;0;12000;0;0;2;1;1
